timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,T-JUS-CKGL,QGL,class
2017-05-26 05:00:00.000000,0.000000e+00,1.422355e+07,1.167003e+02,6.074343e+06,6.917247e+01,3.038260e+06,,0.000000e+00,0
2017-05-26 05:00:01.000000,0.000000e+00,1.422338e+07,1.167000e+02,6.075139e+06,6.916994e+01,3.038260e+06,,0.000000e+00,0
2017-05-26 05:00:02.000000,0.000000e+00,1.422321e+07,1.166997e+02,6.075935e+06,6.916740e+01,3.038260e+06,,0.000000e+00,0
2017-05-26 05:00:03.000000,0.000000e+00,1.422305e+07,1.166994e+02,6.076730e+06,6.916487e+01,3.038260e+06,,0.000000e+00,0
2017-05-26 05:00:04.000000,0.000000e+00,1.422288e+07,1.166992e+02,6.077526e+06,6.916235e+01,3.038259e+06,,0.000000e+00,0
2017-05-26 05:00:05.000000,0.000000e+00,1.422271e+07,1.166989e+02,6.078322e+06,6.915981e+01,3.038259e+06,,0.000000e+00,0
2017-05-26 05:00:06.000000,0.000000e+00,1.422254e+07,1.166986e+02,6.079118e+06,6.915728e+01,3.038259e+06,,0.000000e+00,0
2017-05-26 05:00:07.000000,0.000000e+00,1.422238e+07,1.166984e+02,6.079913e+06,6.915475e+01,3.038259e+06,,0.000000e+00,0
2017-05-26 05:00:08.000000,0.000000e+00,1.422221e+07,1.166981e+02,6.080709e+06,6.915861e+01,3.038258e+06,,0.000000e+00,0
2017-05-26 05:00:09.000000,0.000000e+00,1.422204e+07,1.166978e+02,6.081505e+06,6.916247e+01,3.038258e+06,,0.000000e+00,0
2017-05-26 05:00:10.000000,0.000000e+00,1.422188e+07,1.166976e+02,6.082300e+06,6.916633e+01,3.038258e+06,,0.000000e+00,0
2017-05-26 05:00:11.000000,0.000000e+00,1.422171e+07,1.166973e+02,6.083096e+06,6.917019e+01,3.038257e+06,,0.000000e+00,0
2017-05-26 05:00:12.000000,0.000000e+00,1.422154e+07,1.166970e+02,6.083892e+06,6.917405e+01,3.038257e+06,,0.000000e+00,0
2017-05-26 05:00:13.000000,0.000000e+00,1.422138e+07,1.166968e+02,6.084687e+06,6.917791e+01,3.038257e+06,,0.000000e+00,0
2017-05-26 05:00:14.000000,0.000000e+00,1.422121e+07,1.166965e+02,6.085483e+06,6.918177e+01,3.038257e+06,,0.000000e+00,0
2017-05-26 05:00:15.000000,0.000000e+00,1.422104e+07,1.166962e+02,6.086279e+06,6.918562e+01,3.038256e+06,,0.000000e+00,0
2017-05-26 05:00:16.000000,0.000000e+00,1.422087e+07,1.166960e+02,6.087075e+06,6.918948e+01,3.038256e+06,,0.000000e+00,0
2017-05-26 05:00:17.000000,0.000000e+00,1.422071e+07,1.166957e+02,6.087870e+06,6.919334e+01,3.038256e+06,,0.000000e+00,0
2017-05-26 05:00:18.000000,0.000000e+00,1.422054e+07,1.166954e+02,6.088666e+06,6.919720e+01,3.038256e+06,,0.000000e+00,0
2017-05-26 05:00:19.000000,0.000000e+00,1.422037e+07,1.166952e+02,6.089462e+06,6.920107e+01,3.038256e+06,,0.000000e+00,0
2017-05-26 05:00:20.000000,0.000000e+00,1.422021e+07,1.166949e+02,6.090257e+06,6.920493e+01,3.038255e+06,,0.000000e+00,0
2017-05-26 05:00:21.000000,0.000000e+00,1.422004e+07,1.166946e+02,6.091053e+06,6.920879e+01,3.038255e+06,,0.000000e+00,0
2017-05-26 05:00:22.000000,0.000000e+00,1.421987e+07,1.166944e+02,6.091849e+06,6.921265e+01,3.038255e+06,,0.000000e+00,0
2017-05-26 05:00:23.000000,0.000000e+00,1.421971e+07,1.166941e+02,6.092645e+06,6.921651e+01,3.038255e+06,,0.000000e+00,0
2017-05-26 05:00:24.000000,0.000000e+00,1.421954e+07,1.166938e+02,6.093440e+06,6.922037e+01,3.038254e+06,,0.000000e+00,0
2017-05-26 05:00:25.000000,0.000000e+00,1.421937e+07,1.166936e+02,6.094236e+06,6.922423e+01,3.038254e+06,,0.000000e+00,0
2017-05-26 05:00:26.000000,0.000000e+00,1.421920e+07,1.166933e+02,6.095031e+06,6.922809e+01,3.038254e+06,,0.000000e+00,0
2017-05-26 05:00:27.000000,0.000000e+00,1.421904e+07,1.166930e+02,6.095827e+06,6.923195e+01,3.038253e+06,,0.000000e+00,0
2017-05-26 05:00:28.000000,0.000000e+00,1.421887e+07,1.166927e+02,6.096623e+06,6.923581e+01,3.038253e+06,,0.000000e+00,0
2017-05-26 05:00:29.000000,0.000000e+00,1.421870e+07,1.166925e+02,6.097419e+06,6.923967e+01,3.038253e+06,,0.000000e+00,0
2017-05-26 05:00:30.000000,0.000000e+00,1.421854e+07,1.166922e+02,6.098214e+06,6.924352e+01,3.038253e+06,,0.000000e+00,0
2017-05-26 05:00:31.000000,0.000000e+00,1.421837e+07,1.166919e+02,6.099010e+06,6.924738e+01,3.038252e+06,,0.000000e+00,0
2017-05-26 05:00:32.000000,0.000000e+00,1.421820e+07,1.166917e+02,6.099806e+06,6.925124e+01,3.038252e+06,,0.000000e+00,0
2017-05-26 05:00:33.000000,0.000000e+00,1.421804e+07,1.166914e+02,6.100601e+06,6.925510e+01,3.038252e+06,,0.000000e+00,0
2017-05-26 05:00:34.000000,0.000000e+00,1.421787e+07,1.166911e+02,6.101397e+06,6.925896e+01,3.038252e+06,,0.000000e+00,0
2017-05-26 05:00:35.000000,0.000000e+00,1.421770e+07,1.166909e+02,6.102193e+06,6.926283e+01,3.038251e+06,,0.000000e+00,0
2017-05-26 05:00:36.000000,0.000000e+00,1.421754e+07,1.166906e+02,6.102988e+06,6.926669e+01,3.038251e+06,,0.000000e+00,0
2017-05-26 05:00:37.000000,0.000000e+00,1.421737e+07,1.166903e+02,6.102111e+06,6.927055e+01,3.038251e+06,,0.000000e+00,0
2017-05-26 05:00:38.000000,0.000000e+00,1.421720e+07,1.166901e+02,6.101233e+06,6.927441e+01,3.038251e+06,,0.000000e+00,0
2017-05-26 05:00:39.000000,0.000000e+00,1.421703e+07,1.166898e+02,6.100356e+06,6.927827e+01,3.038251e+06,,0.000000e+00,0
2017-05-26 05:00:40.000000,0.000000e+00,1.421687e+07,1.166895e+02,6.099479e+06,6.928213e+01,3.038250e+06,,0.000000e+00,0
2017-05-26 05:00:41.000000,0.000000e+00,1.421670e+07,1.166893e+02,6.098601e+06,6.928599e+01,3.038250e+06,,0.000000e+00,0
2017-05-26 05:00:42.000000,0.000000e+00,1.421653e+07,1.166890e+02,6.097723e+06,6.928985e+01,3.038250e+06,,0.000000e+00,0
2017-05-26 05:00:43.000000,0.000000e+00,1.421637e+07,1.166887e+02,6.096846e+06,6.929371e+01,3.038249e+06,,0.000000e+00,0
2017-05-26 05:00:44.000000,0.000000e+00,1.421620e+07,1.166885e+02,6.095968e+06,6.929757e+01,3.038249e+06,,0.000000e+00,0
2017-05-26 05:00:45.000000,0.000000e+00,1.421603e+07,1.166882e+02,6.095091e+06,6.930143e+01,3.038249e+06,,0.000000e+00,0
